City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Bandarbeyla,SO,77.45,few clouds,9.4942,50.8122,JABIR HOTEL
5,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
8,Butaritari,KI,81.64,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
10,Shingu,JP,61.79,overcast clouds,33.7333,135.9833,Shingu UI Hotel
13,Samandag,TR,68.52,clear sky,36.0842,35.9771,Truva Life Hotel
14,Yulara,AU,73.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
15,Nisia Floresta,BR,81.41,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
17,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
18,Houma,US,80.6,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
23,Hilo,US,83.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
24,Oyama,JP,65.88,broken clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
25,Arroyo Grande,US,65.12,mist,35.1186,-120.5907,Pismo View Inn
27,Bac Lieu,VN,79.03,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
29,Cirebon,ID,83.07,scattered clouds,-6.7063,108.557,Swiss-Belhotel Cirebon
36,Cayenne,GF,78.84,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
38,Faro,PT,65.98,clear sky,37.0194,-7.9322,Hotel Faro & Beach Club
40,Meadow Lake,US,73.67,clear sky,34.8014,-106.5436,TumbleWeed RV Park
41,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
43,Kahului,US,85.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
44,Georgetown,MY,77.9,mist,5.4112,100.3354,Cititel Penang
45,Demerval Lobao,BR,83.61,scattered clouds,-5.3583,-42.6764,Pousada Da Paz
46,Mar Del Plata,AR,63.88,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
48,Cabo San Lucas,MX,87.1,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
51,Ribeira Grande,PT,66.47,few clouds,38.5167,-28.7,Quinta da Meia Eira
52,Bundaberg,AU,85.21,broken clouds,-24.85,152.35,Takalvan Motel
53,Bengkulu,ID,75.6,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
54,Teguise,ES,68.22,broken clouds,29.0605,-13.564,B&B La Casona de Nazaret
55,Victoria,HK,70.32,broken clouds,22.2855,114.1577,Mini Hotel Central
56,Sola,VU,80.62,scattered clouds,-13.8833,167.55,Leumerus Bungalows
57,Atuona,PF,78.24,clear sky,-9.8,-139.0333,Villa Enata
58,Palpa,PE,70.45,clear sky,-14.5336,-75.1856,Palpa Lines
60,Sakrand,PK,67.95,smoke,26.1384,68.2736,New Mashaallah Hotel
62,Ponta Delgada,PT,65.12,few clouds,37.7333,-25.6667,Vila Nova Hotel
