City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Bandarbeyla,SO,9.4942,50.8122,77.45,74,13,3.58,few clouds
1,Lebu,CL,-37.6167,-73.65,52.16,94,11,5.39,few clouds
2,Khatanga,RU,71.9667,102.5,0.28,89,81,16.04,broken clouds
3,Busselton,AU,-33.65,115.3333,58.05,71,100,8.57,overcast clouds
4,Goderich,CA,43.7501,-81.7165,48.9,87,100,2.3,overcast clouds
5,Vila Velha,BR,-20.3297,-40.2925,80.55,78,20,12.66,few clouds
6,Nanortalik,GL,60.1432,-45.2371,32.99,98,100,3.83,snow
7,Jamestown,US,42.097,-79.2353,51.3,99,90,1.99,moderate rain
8,Butaritari,KI,3.0707,172.7902,81.64,72,33,3.42,scattered clouds
9,Hasaki,JP,35.7333,140.8333,55.8,50,25,9.57,scattered clouds
10,Shingu,JP,33.7333,135.9833,61.79,96,100,7.92,overcast clouds
11,Arman,RU,59.7,150.1667,25.41,71,100,2.86,overcast clouds
12,Hermanus,ZA,-34.4187,19.2345,55.9,77,0,9.55,clear sky
13,Samandag,TR,36.0842,35.9771,68.52,76,0,4.25,clear sky
14,Yulara,AU,-25.2406,130.9889,73.24,28,0,17.27,clear sky
15,Nisia Floresta,BR,-6.0911,-35.2086,81.41,78,94,7.85,overcast clouds
16,Bethel,US,41.3712,-73.414,54.91,78,90,0.0,overcast clouds
17,Kloulklubed,PW,7.0419,134.2556,84.7,73,75,8.21,broken clouds
18,Houma,US,29.5958,-90.7195,80.6,79,90,6.91,overcast clouds
19,Seoul,KR,37.5683,126.9778,49.44,97,20,3.44,few clouds
20,Shubarshi,KZ,48.5872,57.1869,47.23,43,99,7.72,overcast clouds
21,Chapais,CA,49.7834,-74.8492,37.18,80,91,3.6,overcast clouds
22,Ushuaia,AR,-54.8,-68.3,33.46,80,75,25.32,heavy snow
23,Hilo,US,19.7297,-155.09,83.28,76,90,10.36,overcast clouds
24,Oyama,JP,36.3,139.8,65.88,50,68,3.15,broken clouds
25,Arroyo Grande,US,35.1186,-120.5907,65.12,84,90,1.99,mist
26,Lityn,UA,49.3251,28.0809,32.65,78,59,3.8,broken clouds
27,Bac Lieu,VN,9.285,105.7244,79.03,85,100,5.93,overcast clouds
28,Port Alfred,ZA,-33.5906,26.891,57.76,80,8,11.68,clear sky
29,Cirebon,ID,-6.7063,108.557,83.07,70,44,6.13,scattered clouds
30,Gornopravdinsk,RU,60.05,69.9,36.14,99,100,4.54,moderate rain
31,Dikson,RU,73.5069,80.5464,9.7,90,100,17.6,light snow
32,East London,ZA,-33.0153,27.9116,58.37,74,33,10.22,scattered clouds
33,Bluff,NZ,-46.6,168.3333,56.93,83,96,6.35,overcast clouds
34,Cape Town,ZA,-33.9258,18.4232,57.61,69,0,1.99,clear sky
35,Burnie,AU,-41.0667,145.9167,59.94,41,8,4.68,clear sky
36,Cayenne,GF,4.9333,-52.3333,78.84,90,90,7.0,moderate rain
37,Albany,US,42.6001,-73.9662,51.8,79,96,2.8,overcast clouds
